nuqtayi,нуқтаи
adoyi,адои
abzas,абзац
aksent,акцент
avianoses,авианосец
batsilla,бацилла
biomitsin,биомицин
botsman,боцман
bronenoses,броненосец
brutselloz,бруцеллоз
cherepitsa,черепица
dotsent,доцент
fransuz,француз
gaubitsa,гаубица
gers,герц
glitserin,глицерин
gorchitsa,горчица
gusenitsa,гусеница
inersiya,инерция
inssenirovka,инсценировка
kalsiy,кальций
kansler,канцлер
koeffitsient,коэффициент
konferens-zal,конференц-зал
konsepsiya,консепция
konsern,концерн
konsert,концерт
konslager,концлагер
kultivatsiya,культивация
kvars,кварц
litsey,лицей
lotsman,лоцман
marganes,марганец
minonoses,миноносец
munitsipalitet,муниципалитет
ofitsiant,официант
penitsillin,пенициллин
platsdarm,плацдарм
platskarta,плацкарта
politsmeyster,полицмейстер
jinsiyat,жинсият
pensiya,пенсия
ranes,ранец
ritsar,рицарь
sellofan,целлофан
selluloid,целлюлоид
selluloza,целлюлоза
selsiy,цельсий
sement,цемент
sentner,центнер
sentrifuga,центрифуга
senz,ценз
senzor,цензор
senzura,цензура
sex,цех
shnitsel,шницель
shveysar,швейцар
siferblat,циферблат
silindr,цилиндр
silindrik,цилиндрик
singa,цинга
sink,цинк
sirk,цирк
sirkulyar,циркуляр
sisterna,цистерна
sitrus,цитрус
sotsiologik,социологик
sotsiologiya,социология
ssenariy,сценарий
kultivator,культиватор
kuryer,курьер
lager,лагерь
losos,лосось
mebel,мебель
medal,медаль
medalyon,медальон
menshevik,меньшевик
menshevizm,меньшевизм
migren,мигрень
mikrofilm,микрофильм
model,модель
neft,нефть
nikel,никель
nippel,ниппель
nol,ноль
noyabr,ноябрь
oktabr,октябрь
palto,пальто
panel,панель
parallel,параллель
parol,пароль
parter,партьер
patrul,патруль
pavilyon,павильон
pedal,педаль
plastir,пластирь
pochtalyon,почтальон
porshen,поршень
portfel,портфель
povest,повесть
predoxranitel,предохранитель
premyera,премьера
pristan,пристань
puls,пульс
pyesa,пьеса
rels,рельс
relyef,рельеф
rentabel,рентабель
rezba,резьба
rol,роль
royal,рояль
rul,руль
seld,сельд
sentabr,сентябрь
shinel,шинель
shpatel,шпатель
shpilka,шпилька
shpindel,шпиндель
shtapel,штапель
shtempel,штемпель
shtepsel,штепсель
spektakl,спектакль
spiral,спираль
sterjen,стержень
sudya,судья
sulfat,сульфат
tabel,табель
tekstil,текстиль
tokar,токарь
tulen,тюлень
tunnel,туннель
umivalnik,умивальник
valeryanka,валерьянка
vals,вальс
veksel,вексель
velvet,вельвет
ventil,вентиль
vermishel,вермишель
vimpel,вимпель
violonchel,виолончель
volfram,вольфрам
volt,вольт
volta,вольта
voltmetr,вольтметр
vulgar,вульгар
yakor,якорь
yanvar,январь
yuriskonsult,юрисконсульт
ansambl,ансамбль
artel,артель
artikl,артикль
aryergard,арьергард
asfalt,асфальт
atelye,ателье
avtomobil,автомобиль
balzam,бальзам
banderol,бандероль
batalyon,батальон
bilyard,бильярд
binokl,бинокль
bolshevik,большевик
budilnik,будильник
bulvar,бульвар
dalton,дальтон
dekabr,декабрь
delfin,дельфин
devalvatsiya,девальвация
dirijabl,дирижабль
dizel,дизель
dizel-motor,дизель-мотор
duel,дуэль
dvigatel,двигатель
emulsiya,эмульсия
eskadrilya,эскадрилья
fakultativ,факультатив
fakultet,факультет
falsifikator,фальсификатор
falsifikatsiya,фальсификация
feldmarshal,фельдмаршал
feldsher,фельдшер
festival,фестиваль
fevral,февраль
filtr,фильтр
folklor,фольклор
fotoalbom,фотоальбом
fotoatelye,фотоателье
gantel,гантель
gastrol,гастроль
gilza,гильза
gospital,госпиталь
gotovalniy,готовальний
grifel,грифель
impuls,импульс
insult,инсульт
intervyu,интервью
inyeksiya,иньекция
italyan,итальян
iyul,июль
iyun,июнь
kabel,кабель
kalendar,календарь
kanifol,канифоль
karamel,карамель
kartel,картель
karusel,карусель
katapulta,катапульта
kinofestival,кинофестиваль
kinofilm,кинофильм
kisel,кисель
kitel,китель
kobalt,кобальт
kompanyon,компаньон
konferansye,конферансье
obyekt,объект
razyezd,разъезд
subyekt,субъект
syezd,съезд
syomka,съёмка
aviatsiya,авиация
agglutinatsiya,агглютинация
akkreditatsiya,аккредитация
aksiz,акциз
aksioner,акционер
aksiya,акция
aksiyador,акциядор
amortizatsiya,амортизация
antitsiklon,антициклон
apellatsiya,апелляция
artikulatsiya,артикуляция
assimilatsiya,ассимиляция
atgraksion,атгракцион
astologiya,ацтология
bosman,боцман
vaksina,вакцина
vitse-prezident,вице-президент
vulkanizatsiya,вулканизация
gerbitsit,гербицит
gersog,герцог
gidrostansiya,гидростанция
gidroelektrostansiya,гидроэлектростанция
defoliatsiya,дефолиация
deformatsiya,деформация
detsimetr,дециметр
direksiya,дирекция
dislokatsiya,дислокация
dissertatsiya,диссертация
dissimilatsiya,диссимиляция
dotatsiya,дотация
izolatsiya,изоляция
investitsiya,инвестиция
indeksatsiyalash,индексациялаш
inkvizitsiya,инквизиция
inkubatsiya,инкубация
integratsiya,интеграция
intervensiya,интервенция
intonatsiya,интонация
intuitsiya,интуиция
infeksiya,инфекция
irrigatsiya,ирригация
kanalizatsiya,канализация
kassatsiya,кассация
kvitansiya,квитанция
kinossenariy,киносценарий
kolleksiya,коллекция
kombinatsiya,комбинация
kommunikatsiya,коммуникация
kompozitsiya,композиция
konvensiya,конвенция
konversiya,конверция
konsignatsiya,консигнация
konsorsium,консорциум
konstitutsiya,конституция
konstruksiya,конструкция
kontributsiya,контрибуция
konfederatsiya,конфедерация
konferensiya,конференция
konsentrat,концентрат
konsentratsiya,концентрация
konsertmeyster,концертмейстер
kooperatsiya,кооперация
koordinatsiya,координация
korporatsiya,корпорация
korrupsiya,коррупция
koeffitsiyent,коэффициент
leksiya,лекция
litsenziya,лицензия
melioratsiya,мелиорация
militsioner,милиционер
militsiya,милиция
modifikatsiya,модификация
mototsikl,мотоцикл
multiplikatsiya,мультипликация
natsional-demokrat,национал-демократ
nenes,ненец
obligatsiya,облигация
okkupatsiya,оккупация
operatsiya,операция
ofitser,офицер
pinset,пинцет
plantatsiya,плантация
plasdarm,плацдарм
plaskarta,плацкарта
podstansiya,подстанция
politsiya,полиция
provinsiya,провинция
prudensiya,пруденция
publitsist,публицист
publitsistik,публицистик
publitsistika,публицистика
punktuatsiya,пунктуация
radiatsiya,радиация
radioinssenirovka,радиоинсценировка
radiostansiya,радиостанция
ryeaksion,реакцион
ryeaksioner,реакционер
ryeaksiya,реакция
reduksiya,редукция
rezidensiya,резиденция
repetitsiya,репетиция
sanatsiya,санация
sanksiya,санкция
seleksioner,селекционер
seleksiya,селекция
signalizatsiya,сигнализация
sotsial-demokrat,социал-демократ
sotsializm,социализм
sotsialist,социалист
sotsial-revolutsioner,социал-революционер
stansiya,станция
statsionar,стационар
sterilizatsiya,стерилизация
tansa,танца
telyeinssenirovka,телеинсценировка
unifikatsiya,унификация
unter-ofitser,унтер-офицер
farmatsevtika,фармацевтика
federatsiya,федерация
formatsiya,формация
fraksiya,фракция
sezii,цезии
seytnot,цейтнот
sikl,цикл
siklon,циклон
silindrsimon,цилиндрсимон
sirkul,циркуль
shpris,шприц
evakuatsiya,эвакуация
evolutsion,эволюцион
evolutsiya,эволюция
ekspluatatsiya,эксплуатация
emansipatsiya,эмансипация
emigratsiya,эмиграция
ensiklopediya,энциклопедия
aviamodel,авиамодель
akvarel,акварель
alkogol,алкоголь
albom,альбом
almanax,альманах
alpinizm,альпинизм
alpinist,альпинист
angor,ангьор
apelsin,апельсин
aprel,апрель
batalon,батальон
bill,билль
brilyant,брильянт
buldozer,бульдозер
vedomost,ведомость
vidyeofilm,видеофильм
garmon,гармонь
golf,гольф
guash,гуашь
detal,деталь
diagonal,диагональ
diafilm,диафильм
jentlmen,жентльмен
jenshen,женьшен
inventar,инвентарь
kalka,калька
kalkulator,калькулятор
kastrulka,кастрюлька
knaz,князь
konki,коньки
konyak,коньяк
qatiy,қатьий
qita,қитьа
los,лось
maigala,маигьала
monastir,монастирь
multimedia,мультимедиа
multimillioner,мультимиллионер
nashatir,нашатирь
palma,пальма
pochtalon,почтальон
pult,пульт
saldo,сальдо
sinka,синька
ultimatum,ультиматум
ultrabinafsha,ультрабинафша
ultraqisqa,ультрақисқа
ultratovush,ультратовуш
felyeton,фельетон
film,фильм
filmoskop,фильмоскоп
filmoteka,фильмотека
fonar,фонарь
fortepyano,фортепьяно
fyuchers,фьючерс
chest,честь
shula,шуьла
emal,эмаль
atseton,ацетон
atsetilen,ацетилен
attraksion,аттракцион
yurisprudensiya,юриспруденция
affiksatsiya,аффиксация
antisiklon,антициклон
migratsiya,миграция
migratsion,миграцион
manipulyatsi,манипуляци
valuta,валюта
natsional,национал
natsiya,нация
sanksiya,санкция